id,quote,person,created_at,updated_at
51,Constant dripping hollows out a stone.,Lucretius,2016-06-29 15:32:27,2016-06-29 15:32:27
52,Nothing contributes so much to tranquilise the mind as a steady purpose - a point on which the soul may fix its intellectual eye.,Mary Shelley,2016-06-29 15:32:27,2016-06-29 15:32:27
53,Try not to become a man of success but a man of value.,Albert Einstein,2016-06-29 15:32:27,2016-06-29 15:32:27
54,"If you have built castles in the air, your work need not be lost; that is where they should be. Now put foundations under them.",Henry David Thoreau,2016-06-29 15:32:27,2016-06-29 15:32:27
55,Inspiration and genius – one and the same.,Victor Hugo,2016-06-29 15:32:27,2016-06-29 15:32:27
56,"To find what you seek in the road of life, the best proverb of all is that which says: 'Leave no stone unturned.'",Edward Bulwer Lytton,2016-06-29 15:32:27,2016-06-29 15:32:27
57,"Doubt whom you will, but never yourself.",Christian Nestell Bovee ,2016-06-29 15:32:27,2016-06-29 15:32:27
58,"If you would create something, you must be something.",Johann Wolfgang von Goethe,2016-06-29 15:32:27,2016-06-29 15:32:27
59,Every artist was first an amateur.,Ralph Waldo Emerson,2016-06-29 15:32:27,2016-06-29 15:32:27
60,"The more difficulties one has to encounter, within and without, the more significant and the higher in inspiration his life will be.",Horace Bushnell,2016-06-29 15:32:27,2016-06-29 15:32:27
61,"I avoid looking forward or backward, and try to keep looking upward.",Charlotte Bront&euml;,2016-06-29 15:32:27,2016-06-29 15:32:27
62,"Life has no smooth road for any of us; and in the bracing atmosphere of a high aim the very roughness stimulates the climber to steadier steps, till the legend, over steep ways to the stars, fulfills itself.",W. C. Doane,2016-06-29 15:32:27,2016-06-29 15:32:27
63,"Experience is the child of thought, and thought is the child of action.",Benjamin Disraeli,2016-06-29 15:32:27,2016-06-29 15:32:27
64,"Don't wait for extraordinary opportunities. Seize common occasions and make them great.",Orison Swett Marden,2016-06-29 15:32:27,2016-06-29 15:32:27
65,Do we not all agree to call rapid thought and noble impulse by the name of inspiration?,George Eliot,2016-06-29 15:32:27,2016-06-29 15:32:27
66,No great man ever complains of want of opportunities.,Ralph Waldo Emerson,2016-06-29 15:32:27,2016-06-29 15:32:27
67,"Men do less than they ought, unless they do all they can.",Thomas Carlyle,2016-06-29 15:32:27,2016-06-29 15:32:27
68,Happy are those who dream dreams and are ready to pay the price to make them come true.,Leon J. Suenes,2016-06-29 15:32:27,2016-06-29 15:32:27
69,The power of imagination makes us infinite.,John Muir,2016-06-29 15:32:27,2016-06-29 15:32:27
70,First say to yourself what you would be; and then do what you have to do.,Epictetus,2016-06-29 15:32:27,2016-06-29 15:32:27
71,"You miss 100% of the shots you don't take. ",Wayne Gretzky,2016-06-29 15:32:27,2016-06-29 15:32:27
72,Along with success comes a reputation for wisdom.,Euripides,2016-06-29 15:32:27,2016-06-29 15:32:27
73,They can because they think they can.,Virgil,2016-06-29 15:32:27,2016-06-29 15:32:27
74,Nothing can stop the man with the right mental attitude from achieving his goal; nothing on earth can help the man with the wrong mental attitude. ,Thomas Jefferson,2016-06-29 15:32:27,2016-06-29 15:32:27
75,Keep steadily before you the fact that all true success depends at last upon yourself.,Theodore T. Hunger,2016-06-29 15:32:27,2016-06-29 15:32:27
