id,quote,person,created_at,updated_at
210,"Go to the people. Learn from them. Live with them. Start with what they know. Build with what they have. The best of leaders when the job is done, when the task is accomplished, the people will say we have done it ourselves.",Lao Tzu,2016-06-29 15:32:28,2016-06-29 15:32:28
211,A leader is a dealer in hope.,Napoleon Bonaparte,2016-06-29 15:32:28,2016-06-29 15:32:28
212,"Rely on your own strength of body and soul. Take for your star self-reliance, faith, honesty and industry. Don't take too much advice – keep at the helm and steer your own ship, and remember that the great art of commanding is to take a fair share of the work. Fire above the mark you intend to hit. Energy, invincible determination with the right motive, are the levers that move the world.",Noah Porter,2016-06-29 15:32:28,2016-06-29 15:32:28
213,There is always room for a man of force and he makes room for many. Society is a troop of thinkers and the best heads among them take the best places.,Ralph Waldo Emerson,2016-06-29 15:32:28,2016-06-29 15:32:28
214,"If your actions inspire others to dream more, learn more, do more and become more, you are a leader.",John Quincy Adams,2016-06-29 15:32:28,2016-06-29 15:32:28
215,The people follow the example of those above them.,Chinese Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
216,He who has never learned to obey cannot be a good commander.,Aristotle,2016-06-29 15:32:28,2016-06-29 15:32:28
217,"The ultimate measure of a man is not where he stands in moments of comfort, but where he stands at times of challenge and controversy.","Martin Luther King, Jr.",2016-06-29 15:32:28,2016-06-29 15:32:28
218,Any one can hold the helm when the sea is calm.,Publilius Syrus,2016-06-29 15:32:28,2016-06-29 15:32:28
219,Never tell people how to do things. Tell them what to do and they will surprise you with their ingenuity.,George Patton,2016-06-29 15:32:28,2016-06-29 15:32:28
220,"Where there is no vision, the people perish.",Proverbs 29:18,2016-06-29 15:32:28,2016-06-29 15:32:28
221,"Misfortunes, untoward events, lay open, disclose the skill of a general, while success conceals his weakness, his weak points.",Horace,2016-06-29 15:32:28,2016-06-29 15:32:28
222,In this world a man must either be an anvil or hammer.,Henry W. Longfellow,2016-06-29 15:32:28,2016-06-29 15:32:28
223,Leadership does not always wear the harness of compromise.,Woodrow Wilson,2016-06-29 15:32:28,2016-06-29 15:32:28
224,"The greater a man is in power above others, the more he ought to excel them in virtue. None ought to govern who is not better than the governed.",Publilius Syrus,2016-06-29 15:32:28,2016-06-29 15:32:28
225,"Take time to deliberate; but when the time for action arrives, stop thinking and go in.",Andrew Jackson,2016-06-29 15:32:28,2016-06-29 15:32:28
226,A bold onset is half the battle.,Giuseppe Garibaldi,2016-06-29 15:32:28,2016-06-29 15:32:28
227,"The power is detested, and miserable the life, of him who wishes to be feared rather than to be loved.",Cornelius Nepos,2016-06-29 15:32:28,2016-06-29 15:32:28
228,"To be a great leader and so always master of the situation, one must of necessity have been a great thinker in action. An eagle was never yet hatched from a goose's egg.",James Thomas,2016-06-29 15:32:28,2016-06-29 15:32:28
229,Ill can he rule the great that cannot reach the small.,Edmund Spenser,2016-06-29 15:32:28,2016-06-29 15:32:28
230,He who has learned how to obey will know how to command.,Solon,2016-06-29 15:32:28,2016-06-29 15:32:28
231,"When I give a minister an order, I leave it to him to find the means to carry it out.",Napoleon Bonaparte,2016-06-29 15:32:28,2016-06-29 15:32:28
232,No man can stand on top because he is put there.,H. H. Vreeland,2016-06-29 15:32:28,2016-06-29 15:32:28
233,A ruler should be slow to punish and swift to reward.,Ovid,2016-06-29 15:32:28,2016-06-29 15:32:28
234,It is impossible to imagine anything which better becomes a ruler than mercy.,Seneca,2016-06-29 15:32:28,2016-06-29 15:32:28
235,"No man is good enough to govern another man without that other's consent.",Abraham Lincoln,2016-06-29 15:32:28,2016-06-29 15:32:28
236,What you cannot enforce / Do not command.,Sophocles,2016-06-29 15:32:28,2016-06-29 15:32:28
237,"No general can fight his battles alone. He must depend upon his lieutenants, and his success depends upon his ability to select the right man for the right place.",Philip Armour,2016-06-29 15:32:28,2016-06-29 15:32:28
238,To do great things is difficult; but to command great things is more difficult.,Friedrich Nietzsche,2016-06-29 15:32:28,2016-06-29 15:32:28
239,"It is absurd that a man should rule others, who cannot rule himself.",Latin Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
240,"Let him who would be moved to convince others, be first moved to convince himself.",Thomas Carlyle,2016-06-29 15:32:28,2016-06-29 15:32:28
241,A good general not only sees the way to victory; he also knows when victory is impossible.,Polybius,2016-06-29 15:32:28,2016-06-29 15:32:28
242,A goal is a dream with a deadline.,Napoleon Hill,2016-06-29 15:32:28,2016-06-29 15:32:28
243,In everything the ends well defined are the secret of durable success.,Victor Cousins,2016-06-29 15:32:28,2016-06-29 15:32:28
244,Arriving at one goal is the starting point to another.,John Dewey,2016-06-29 15:32:28,2016-06-29 15:32:28
245,"Failures do what is tension relieving, while winners do what is goal achieving.",Dennis Waitley,2016-06-29 15:32:28,2016-06-29 15:32:28
246,"A man should have any number of little aims about which he should be conscious and for which he should have names, but he should have neither name for, nor consciousness concerning, the main aim of his life.",Samuel Butler,2016-06-29 15:32:28,2016-06-29 15:32:28
247,Goals are the fuel in the furnace of achievement.,Brian Tracy,2016-06-29 15:32:28,2016-06-29 15:32:28
248,The great and glorious masterpiece of man is to know how to live to purpose.,Michel de Montaigne,2016-06-29 15:32:28,2016-06-29 15:32:28
249,"Ah, but a man's reach should exceed his grasp, or what's a heaven for?",Robert Browning,2016-06-29 15:32:28,2016-06-29 15:32:28
250,Purpose is what gives life a meaning.,C. H. Parkhurst,2016-06-29 15:32:28,2016-06-29 15:32:28
251,The significance of a man is not in what he attains but in what he longs to attain.,Kahlil Gibran,2016-06-29 15:32:28,2016-06-29 15:32:28
252,"Every ceiling, when reached, becomes a floor, upon which one walks as a matter of course and prescriptive right.",Aldous Huxley,2016-06-29 15:32:28,2016-06-29 15:32:28
253,"If you don't know where you are going, you'll end up someplace else.",Yogi Berra,2016-06-29 15:32:28,2016-06-29 15:32:28
254,He who would arrive at the appointed end must follow a single road and not wander through many ways.,Seneca,2016-06-29 15:32:28,2016-06-29 15:32:28
255,"Some men give up their designs when they have almost reached the goal; while others, on the contrary, obtain a victory by exerting, at the last moment, more vigorous efforts than before.",Polybius,2016-06-29 15:32:28,2016-06-29 15:32:28
256,"In all things that you do, consider the end.",Solon,2016-06-29 15:32:28,2016-06-29 15:32:28
257,Life can be pulled by goals just as surely as it can be pushed by drives.,Viktor Frankl,2016-06-29 15:32:28,2016-06-29 15:32:28
258,"Aim at the sun, and you may not reach it; but your arrow will fly far higher than if aimed at an object on a level with yourself.",J. Howes,2016-06-29 15:32:28,2016-06-29 15:32:28
259,"The virtue lies in the struggle, not in the prize.",Richard Monckton Milnes,2016-06-29 15:32:28,2016-06-29 15:32:28
260,"To reach a port, we must sail – Sail, not tie at anchor – Sail, not drift.",Franklin Roosevelt,2016-06-29 15:32:28,2016-06-29 15:32:28
261,"Our plans miscarry because they have no aim. When a man does not know what harbor he is making for, no wind is the right wind.",Seneca,2016-06-29 15:32:28,2016-06-29 15:32:28
262,"However brilliant an action may be, it should not be accounted great when it is not the result of a great purpose.",Francois de la Rochefoucauld ,2016-06-29 15:32:28,2016-06-29 15:32:28
263,It is not enough to take steps which may some day lead to a goal; each step must be itself a goal and a step likewise.,Johann Wolfgang von Goethe,2016-06-29 15:32:28,2016-06-29 15:32:28
264,A good archer is known not by his arrows but by his aim.,Thomas Fuller,2016-06-29 15:32:28,2016-06-29 15:32:28
265,Who aims at excellence will be above mediocrity; who aims at mediocrity will be far short of it.,Burmese Saying,2016-06-29 15:32:28,2016-06-29 15:32:28
266,"In absence of clearly defined goals, we become strangely loyal to performing daily acts of trivia.",Unknown,2016-06-29 15:32:28,2016-06-29 15:32:28
267,"Don't bunt. Aim out of the ballpark.",David Ogilvy,2016-06-29 15:32:28,2016-06-29 15:32:28
268,"There are two things to aim at in life; first to get what you want, and after that to enjoy it. Only the wisest of mankind has achieved the second.",Logan Pearsall Smith,2016-06-29 15:32:28,2016-06-29 15:32:28
270,It is easier to be wise for others than for ourselves.,Francois De La Rochefoucauld,2016-06-29 15:32:28,2016-06-29 15:32:28
271,The art of being wise is knowing what to overlook.,William James,2016-06-29 15:32:28,2016-06-29 15:32:28
272,"The first step in the acquisition of wisdom is silence, the second listening, the third memory, the fourth practice, the fifth teaching others.",Solomon Ibn Gabriol,2016-06-29 15:32:28,2016-06-29 15:32:28
273,Wisdom is better than gold or silver.,German Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
274,Years teach us more than books.,Berthold Auerbach,2016-06-29 15:32:28,2016-06-29 15:32:28
275,It is best to learn wisdom by the experience of others.,Latin Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
276,"The wisdom of nations lies in their proverbs, which are brief and pithy.",William Penn,2016-06-29 15:32:28,2016-06-29 15:32:28
277,The middle course is the best.,Cleobulus,2016-06-29 15:32:28,2016-06-29 15:32:28
278,The wise man should be prepared for everything that does not lie within his control.,Pythagoras,2016-06-29 15:32:28,2016-06-29 15:32:28
279,"The only medicine for suffering, crime, and all the other woes of mankind, is wisdom.",Thomas Huxley,2016-06-29 15:32:28,2016-06-29 15:32:28
280,"A wise man learns by the mistakes of others, a fool by his own.",Latin Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
281,Silence does not always mark wisdom.,Samuel Taylor Coleridge. ,2016-06-29 15:32:28,2016-06-29 15:32:28
282,Measure a thousand times and cut once.,Turkish Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
283,No man was ever wise by chance.,Seneca,2016-06-29 15:32:28,2016-06-29 15:32:28
284,He has not learned the lesson of life who does not every day surmount a fear.,Ralph Waldo Emerson,2016-06-29 15:32:28,2016-06-29 15:32:28
285,"Not to know at large of things remote From use, obscure and subtle, but to know That which before us lies in daily life, Is the prime wisdom.",John Milton,2016-06-29 15:32:28,2016-06-29 15:32:28
286,By associating with wise people you will become wise yourself.,Menander,2016-06-29 15:32:28,2016-06-29 15:32:28
287,"The seat of knowledge is in the head, of wisdom, in the heart.",William Hazlitt,2016-06-29 15:32:28,2016-06-29 15:32:28
288,Of all parts of wisdom the practice is the best.,John Tillotson,2016-06-29 15:32:28,2016-06-29 15:32:28
289,"The larger the island of knowledge, the longer the shore line of wonder.",Ralph W. Sockman,2016-06-29 15:32:28,2016-06-29 15:32:28
290,"The more a man knows, the more he forgives.",Catherine the Great,2016-06-29 15:32:28,2016-06-29 15:32:28
291,A loving heart is the truest wisdom.,Charles Dickens,2016-06-29 15:32:28,2016-06-29 15:32:28
292,One who understands much displays a greater simplicity of character than one who understands little.,Alexander Chase,2016-06-29 15:32:28,2016-06-29 15:32:28
293,"How prone to doubt, how cautious are the wise!",Homer,2016-06-29 15:32:28,2016-06-29 15:32:28
294,The man of wisdom is never of two minds; the man of benevolence never worries; the man of courage is never afraid.,Confucius,2016-06-29 15:32:28,2016-06-29 15:32:28
295,Wisdom is the sunlight of the soul.,German Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
296,"The way to gain a good reputation, is to endeavor to be what you desire to appear.",Socrates,2016-06-29 15:32:28,2016-06-29 15:32:28
297,"The fact is, that to do anything in the world worth doing, we must not stand back shivering and thinking of the cold and danger, but jump in and scramble through as well as we can.",Robert Cushing,2016-06-29 15:32:28,2016-06-29 15:32:28
298,We only become what we are by the radical and deep-seated refusal of that which others have made of us.,Jean-Paul Sartre,2016-06-29 15:32:28,2016-06-29 15:32:28
299,The searching-out and thorough investigation of truth ought to be the primary study of man.,Cicero,2016-06-29 15:32:28,2016-06-29 15:32:28
300,The only journey is the journey within.,Rainer Maria Rilke,2016-06-29 15:32:28,2016-06-29 15:32:28
301,"It is not easy to find happiness in ourselves, and it is not possible to find it elsewhere.",Agnes Repplier,2016-06-29 15:32:28,2016-06-29 15:32:28
302,"Know thyself means this, that you get acquainted with what you know, and what you can do.",Menander,2016-06-29 15:32:28,2016-06-29 15:32:28
303,"Yes, know thyself: in great concerns or small, Be this thy care, for this, my friend, is all.",Juvenal,2016-06-29 15:32:28,2016-06-29 15:32:28
304,"Men soon the faults of others learn A few their virtues, too, find out; But is there one – I have a doubt – Who can his own defects discern?",Sanskrit Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
305,Collect as precious pearls the words of the wise and virtuous.,Abd-el-Kadar,2016-06-29 15:32:28,2016-06-29 15:32:28
306,"If we do not plant knowledge when young, it will give us no shade when we are old.",Lord Chesterfield,2016-06-29 15:32:28,2016-06-29 15:32:28
307,"Our business in life is not to get ahead of other people, but to get ahead of ourselves.",Maltbie D. Matlock,2016-06-29 15:32:28,2016-06-29 15:32:28
308,"If you have an hour, will you not improve that hour, instead of idling it away?",Lord Chesterfield,2016-06-29 15:32:28,2016-06-29 15:32:28
309,"Follow your honest convictions, and stay strong.",William Thackeray,2016-06-29 15:32:28,2016-06-29 15:32:28
310,"As the sculptor devotes himself to wood and stone, I would devote myself to my soul.",Toyohiko Kagawa,2016-06-29 15:32:28,2016-06-29 15:32:28
311,The most difficult thing in life is to know yourself.,Thales,2016-06-29 15:32:28,2016-06-29 15:32:28
312,He that will not reflect is a ruined man.,Asian Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
313,Every day do something that will inch you closer to a better tomorrow.,Doug Firebaugh,2016-06-29 15:32:28,2016-06-29 15:32:28
314,Be not afraid of growing slowly; be afraid only of standing still.,Chinese Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
315,God ever works with those who work with will.,Aeschylus,2016-06-29 15:32:28,2016-06-29 15:32:28
316,Insist on yourself. Never imitate.,Ralph Waldo Emerson,2016-06-29 15:32:28,2016-06-29 15:32:28
317,Heaven never helps the man who will not act.,Sophocles,2016-06-29 15:32:28,2016-06-29 15:32:28
318,Knowing yourself is the beginning of all wisdom.,Aristotle,2016-06-29 15:32:28,2016-06-29 15:32:28
319,"Our ideas, like orange-plants, spread out in proportion to the size of the box which imprisons the roots.",Edward Bulwer Lytton,2016-06-29 15:32:28,2016-06-29 15:32:28
320,We are sometimes as different from ourselves as we are from others.,Francois de La Rochefoucauld,2016-06-29 15:32:28,2016-06-29 15:32:28
321,"In learning to know other things, and other minds, we become more intimately acquainted with ourselves, and are to ourselves better worth knowing.",Philip Gilbert Hamilton,2016-06-29 15:32:28,2016-06-29 15:32:28
323,It is only the very wisest and the very stupidest who cannot change.,Confucius,2016-06-29 15:32:28,2016-06-29 15:32:28
324,We are either progressing or retrograding all the while; there is no such thing as remaining stationary in this life.,James Freeman Clarke,2016-06-29 15:32:28,2016-06-29 15:32:28
325,"To conquer oneself is the best and noblest victory; to be vanquished by one's own nature is the worst and most ignoble defeat.",Plato,2016-06-29 15:32:28,2016-06-29 15:32:28
326,Everybody wants to be somebody; nobody wants to grow.,Johann Wolfgang von Goethe,2016-06-29 15:32:28,2016-06-29 15:32:28
327,The happiest life is that which constantly exercises and educates what is best in us.,Hamerton,2016-06-29 15:32:28,2016-06-29 15:32:28
328,Change and growth take place when a person has risked himself and dares to become involved with experimenting with his own life.,Herbert Otto,2016-06-29 15:32:28,2016-06-29 15:32:28
329,"Heed the still small voice that so seldom leads us wrong, and never into folly.",Marquise du Deffand,2016-06-29 15:32:28,2016-06-29 15:32:28
330,Your real influence is measured by your treatment of yourself.,A. Bronson Alcott,2016-06-29 15:32:28,2016-06-29 15:32:28
331,"If we all did the things we are capable of, we would astound ourselves.",Thomas Edison,2016-06-29 15:32:28,2016-06-29 15:32:28
332,A man who finds no satisfaction in himself will seek for it in vain elsewhere.,La Rochefoucauld,2016-06-29 15:32:28,2016-06-29 15:32:28
333,"Fear less, hope more, eat less, chew more, whine less, breathe more, talk less, say more, hate less, love more, and good things will be yours.",Swedish Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
334,"Make it thy business to know thyself, which is the most difficult lesson in the world.",Miguel de Cervantes,2016-06-29 15:32:28,2016-06-29 15:32:28
335,"The best rules to form a young man are: to talk little, to hear much, to reflect alone upon what has passed in company, to distrust one's own opinions, and value others that deserve it.",Sir William Temple,2016-06-29 15:32:28,2016-06-29 15:32:28
336,"Exert your talents, and distinguish yourself, and don't think of retiring from the world, until the world will be sorry that you retire.",Samuel Johnson,2016-06-29 15:32:28,2016-06-29 15:32:28
337,You must look into other people as well as at them.,Lord Chesterfield,2016-06-29 15:32:28,2016-06-29 15:32:28
338,"A man's own good breeding is the best security against other people's ill manners.",Lord Chesterfield,2016-06-29 15:32:28,2016-06-29 15:32:28
339,"The secret of many a man's success in the world resides in his insight into the moods of men and his tact in dealing with them.",J. G. Holland,2016-06-29 15:32:28,2016-06-29 15:32:28
340,"To rejoice in another's prosperity, is to give content to your own lot: to mitigate another's grief, is to alleviate or dispel your own.",Thomas Edwards,2016-06-29 15:32:28,2016-06-29 15:32:28
341,Hear the meaning within the word.,William Shakespeare,2016-06-29 15:32:28,2016-06-29 15:32:28
342,"Charity, good behaviour, amiable speech, unselfishness – these by the chief sage have been declared the elements of popularity.",Burmese Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
343,Kind words are the music of the world.,F. W. Faber,2016-06-29 15:32:28,2016-06-29 15:32:28
344,We are far more liable to catch the vices than the virtues of our associates.,Denis Diderot,2016-06-29 15:32:28,2016-06-29 15:32:28
345,Arguing with a fool proves there are two.,Doris M. Smith,2016-06-29 15:32:28,2016-06-29 15:32:28
346,"Be courteous to all, but intimate with few; and let those be well-tried before you give them your confidence.",George Washington,2016-06-29 15:32:28,2016-06-29 15:32:28
347,Look to be treated by others as you have treated others.,Publilius Syrus,2016-06-29 15:32:28,2016-06-29 15:32:28
348,I have made it a rule never to be with a person ten minutes without trying to make him happier.,Anonymous,2016-06-29 15:32:28,2016-06-29 15:32:28
349,"Success in life, in anything, depends upon the number of person's that one can make himself agreeable to.",Thomas Carlyle,2016-06-29 15:32:28,2016-06-29 15:32:28
350,Never part without loving words to think of during your absence. It may be that you will not meet again in this life.,Jean Paul Richter,2016-06-29 15:32:28,2016-06-29 15:32:28
351,"Let us believe neither half of the good people tell us of ourselves, nor half of the evil they say of others.",J. Petit Senn,2016-06-29 15:32:28,2016-06-29 15:32:28
352,"The more you say, the less people remember.",Fran&ccedil;ois F&eacute;nelon,2016-06-29 15:32:28,2016-06-29 15:32:28
353,Never lose a chance of saying a kind word.,William Thackeray,2016-06-29 15:32:28,2016-06-29 15:32:28
354,The soul of conversation is sympathy.,Thomas Campbell,2016-06-29 15:32:28,2016-06-29 15:32:28
355,"It is always good to know, if only in passing, charming human beings. It refreshes one like flowers and woods and clear brooks.",George Eliot,2016-06-29 15:32:28,2016-06-29 15:32:28
356,Every man is a volume if you know how to read him.,William Ellery Channing,2016-06-29 15:32:28,2016-06-29 15:32:28
357,"Learn to regard the souls around you as parts of some grand instrument. It is for each of us to know the keys and stops, that we may draw forth the harmonies that lie sleeping in the silent octaves.",Anonymous,2016-06-29 15:32:28,2016-06-29 15:32:28
358,"If evil be said of thee, and if it be true, correct thyself; if it be a lie, laugh at it.",Epictetus,2016-06-29 15:32:28,2016-06-29 15:32:28
359,"In many things it is not well to say, 'Know thyself'; it is better to say, 'Know others.' ",Menander,2016-06-29 15:32:28,2016-06-29 15:32:28
360,"The less people speak of their greatness, the more we think of it.",Lord Bacon,2016-06-29 15:32:28,2016-06-29 15:32:28
361,"He who sedulously attends, pointedly asks, calmly speaks, coolly answers and ceases when he has no more to say is in possession of some of the best requisites of man.",Johann Casper Lavater,2016-06-29 15:32:28,2016-06-29 15:32:28
362,Men are more mindful of wrongs than of benefits.,Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
363,A good word is an easy obligation; but not to speak ill requires only our silence; which costs us nothing.,John Tillotson,2016-06-29 15:32:28,2016-06-29 15:32:28
364,It requires less character to discover the faults of others than is does to tolerate them.,J. Petit Senn,2016-06-29 15:32:28,2016-06-29 15:32:28
365,Do not forget small kindnesses and do not remember small faults.,Chinese Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
366,Go back a little to leap further.,John Clarke,2016-06-29 15:32:28,2016-06-29 15:32:28
367,"It is hard to fail, but it is worse never to have tried to succeed.",Theodore Roosevelt,2016-06-29 15:32:28,2016-06-29 15:32:28
368,"Half of the failures in life come from pulling one's horse when he is leaping.",Thomas Hood,2016-06-29 15:32:28,2016-06-29 15:32:28
369,I failed my way to success.,Thomas Edison,2016-06-29 15:32:28,2016-06-29 15:32:28
370,"Our doubts are traitors, and make us lose the good we oft might win, by fearing to attempt.",William Shakespeare,2016-06-29 15:32:28,2016-06-29 15:32:28
371,Every failure brings with it the seed of an equivalent success.,Napoleon Hill,2016-06-29 15:32:28,2016-06-29 15:32:28
372,Failure is blindness to the strategic element in events; success is readiness for instant action when the opportune moment arrives.,Newell D. Hillis,2016-06-29 15:32:28,2016-06-29 15:32:28
373,"They fail, and they alone, who have not striven.",Thomas Bailey Aldrich,2016-06-29 15:32:28,2016-06-29 15:32:28
374,"We learn wisdom from failure much more than success. We often discover what we will do, by finding out what we will not do.",Samuel Smiles,2016-06-29 15:32:28,2016-06-29 15:32:28
375,"I was never afraid of failure, for I would sooner fail than not be among the best.",John Keats,2016-06-29 15:32:28,2016-06-29 15:32:28
376,He that is down needs fear no fall.,John Bunyan,2016-06-29 15:32:28,2016-06-29 15:32:28
377,Never let the fear of striking out get in your way.,"George Herman 'Babe' Ruth",2016-06-29 15:32:28,2016-06-29 15:32:28
378,One who fears failure limits his activities. Failure is only the opportunity to more intelligently begin again.,Henry Ford,2016-06-29 15:32:28,2016-06-29 15:32:28
379,Only those who dare to fail greatly can ever achieve greatly.,John F. Kennedy,2016-06-29 15:32:28,2016-06-29 15:32:28
380,The greatest mistake you can make in life is to continually be afraid you will make one.,Elbert Hubbard,2016-06-29 15:32:28,2016-06-29 15:32:28
381,Failure is a trickster with a keen sense of irony and cunning. It takes great delight in tripping one when success is almost within reach.,Napoleon Hill,2016-06-29 15:32:28,2016-06-29 15:32:28
382,"Our greatest glory consist not in never falling, but in rising every time we fall.",Oliver Goldsmith,2016-06-29 15:32:28,2016-06-29 15:32:28
383,What would life be if we had no courage to attempt anything?,Vincent van Gogh,2016-06-29 15:32:28,2016-06-29 15:32:28
384,Bad times have a scientific value. These are occasions a good leaner would not miss.,Ralph Waldo Emerson,2016-06-29 15:32:28,2016-06-29 15:32:28
385,"The greatest men sometimes overshoot themselves, but then their very mistakes are so many lessons of instruction. ",Tom Browne,2016-06-29 15:32:28,2016-06-29 15:32:28
386,"A man of character finds a special attractiveness in difficulty, since it is only by coming to grips with difficulty that he can realize his potentialities.",Charles de Gaulle,2016-06-29 15:32:28,2016-06-29 15:32:28
387,"Experience teaches slowly, and at the cost of mistakes.",James A. Froude,2016-06-29 15:32:28,2016-06-29 15:32:28
388,"It is the want of diligence, rather than the want of means, that causes most failures.",Alfred Mercier,2016-06-29 15:32:28,2016-06-29 15:32:28
389,"A man's life is interesting primarily when he has failed--I well know. For it's a sign that he tried to surpass himself.",Georges Clemenceau,2016-06-29 15:32:28,2016-06-29 15:32:28
390,He who fears being conquered is sure of defeat.,Napoleon Bonaparte,2016-06-29 15:32:28,2016-06-29 15:32:28
391,There is no failure except in no longer trying.,Elbert Hubbard,2016-06-29 15:32:28,2016-06-29 15:32:28
392,There is no impossibility to him who stands prepared to conquer every hazard. The fearful are the failing.,Sarah J. Hale,2016-06-29 15:32:28,2016-06-29 15:32:28
393,Disappointments are to the soul what thunderstorms are to the air.,Johann C. F. von Schiller,2016-06-29 15:32:28,2016-06-29 15:32:28
394,Failure teaches success.,Japanese Saying,2016-06-29 15:32:28,2016-06-29 15:32:28
395,"Don't waste your life in doubts and fears: spend yourself on the work before you, well assured that the right performance of this hour's duties will be the best preparation for the hours or ages that follow it.",Ralph Waldo Emerson,2016-06-29 15:32:28,2016-06-29 15:32:28
396,"No longer forward nor behind I look in hope and fear; But grateful take the good I find, The best of now and here.",John G. Whittier,2016-06-29 15:32:28,2016-06-29 15:32:28
397,"It is not work that kills men, it is worry. Work is healthy; you can hardly put more on a man than he can bear. But worry is rust upon the blade. It is not movement that destroys the machinery, but friction.",Henry Ward Beecher,2016-06-29 15:32:28,2016-06-29 15:32:28
398,"Never let life's hardships disturb you ... no one can avoid problems, not even saints or sages.",Nichiren Daishonen,2016-06-29 15:32:28,2016-06-29 15:32:28
399,"Ask yourself this question: 'Will this matter a year from now?'",Richard Carlson,2016-06-29 15:32:28,2016-06-29 15:32:28
400,Surely there is something in the unruffled calm of nature that overawes our little anxieties and doubts; the sight of the deep-blue sky and the clustering stars above seems to impart a quiet to the mind.,Jonathan Edwards,2016-06-29 15:32:28,2016-06-29 15:32:28
401,"Do not anticipate trouble, or worry about what may never happen. Keep in the sunlight.",Benjamin Franklin,2016-06-29 15:32:28,2016-06-29 15:32:28
402,"Imagine every day to be the last of a life surrounded with hopes, cares, anger and fear. The hours that come unexpectedly will be much the more grateful.",Horace,2016-06-29 15:32:28,2016-06-29 15:32:28
403,The mind that is anxious about future events is miserable.,Seneca,2016-06-29 15:32:28,2016-06-29 15:32:28
404,Present fears are less than horrible imaginings.,William Shakespeare,2016-06-29 15:32:28,2016-06-29 15:32:28
405,"Let us be of good cheer, remembering that the misfortunes hardest to bear are those that never happen.",James Russel Lowell,2016-06-29 15:32:28,2016-06-29 15:32:28
406,How much pain have cost us the evils that have never happened.,Thomas Jefferson,2016-06-29 15:32:28,2016-06-29 15:32:28
407,It is the trouble that never comes that causes the loss of sleep.,Chas. Austin Bates,2016-06-29 15:32:28,2016-06-29 15:32:28
408,"Live in each season as it passes; breathe the air, drink the drink, taste the fruit, and resign yourself to the influences of each.",Henry David Thoreau,2016-06-29 15:32:28,2016-06-29 15:32:28
409,"We also deem those happy, who from the experience of life, have learned to bear its ills and without descanting on their weight.",Junvenal,2016-06-29 15:32:28,2016-06-29 15:32:28
410,"Thus each person by his fears gives wings to rumor, and, without any real source of apprehension, men fear what they themselves have imagined.",Lucan,2016-06-29 15:32:28,2016-06-29 15:32:28
411,I never think of the future - it comes soon enough.,Albert Einstein,2016-06-29 15:32:28,2016-06-29 15:32:28
412,It is idle to dread what you cannot avoid. Stultum est timere quod vitare non potes.,Publilius Syrus,2016-06-29 15:32:28,2016-06-29 15:32:28
413,"He either fears his fate too much, Or his deserts are small, Who dares not put it to the touch To gain or lose it all.",Marquis of Montrose,2016-06-29 15:32:28,2016-06-29 15:32:28
414,"The rose is fairest when it is budding new, and hope is brightest when it dawns from fears.",Walter Scott,2016-06-29 15:32:28,2016-06-29 15:32:28
415,"The block of granite which was an obstacle in the pathway of the weak, became a stepping-stone in the pathway of the strong.",Thomas Carlyle,2016-06-29 15:32:28,2016-06-29 15:32:28
416,Press on! A better fate awaits thee.,Victor Hugo,2016-06-29 15:32:28,2016-06-29 15:32:28
417,Perseverance is king.,Josh Billings,2016-06-29 15:32:28,2016-06-29 15:32:28
418,The man who removes a mountain begins by carrying away small stones.,Chinese Proverb,2016-06-29 15:32:28,2016-06-29 15:32:28
419,"Nothing great is created suddenly, any more than a bunch of grapes or a fig.",Epictetus,2016-06-29 15:32:28,2016-06-29 15:32:28
420,The important thing in life is to have great aim and to possess the aptitude and the perseverance to attain it.,Johann Wolfgang Von Goethe,2016-06-29 15:32:28,2016-06-29 15:32:28
421,Success in life is a matter not so much of talent or opportunity as of concentration and perseverance.,C. W. Wendte,2016-06-29 15:32:28,2016-06-29 15:32:28
422,"I hold a doctrine, to which I owe not much, indeed, but all the little I ever had, namely, that with ordinary talent and extraordinary perseverance, all things are attainable.",Sir T. F. Buxton,2016-06-29 15:32:28,2016-06-29 15:32:28
423,"Those who would attain to any marked degree of excellence in a chosen pursuit must work, and work hard for it, prince or peasant.",Bayard Taylor,2016-06-29 15:32:28,2016-06-29 15:32:28
424,"Keep on going, and the chances are that you will stumble on something, perhaps when you are least expecting it. I never heard of anyone ever stumbling on something sitting down.",Charles F. Kettering,2016-06-29 15:32:28,2016-06-29 15:32:28
